219	11471
220	12561
221	13947
222	15424
223	16711
224	17835
225	18988
226	20438
227	23013
228	26903
229	30867
230	35844
231	42207
232	45403
233	43246
234	40277
235	39210
236	40640
237	46893
238	55138
239	60545
240	70257
241	83200
242	77416
243	53869
244	33388
245	21181
246	14722
247	11488
248	10196
249	10053
250	10620
251	11586
252	12349
253	12428
254	11845
255	11224
256	11245
257	12110
258	13972
259	16872
260	20458
261	24060
262	26670
263	26380
264	22532
265	18355
266	15781
267	15155
268	17191
269	20933
270	24675
271	29965
272	41883
273	52884
274	45431
275	27902
276	15557
277	9189
278	6063
279	4482
280	3659
281	3259
282	3057
283	2952
284	2912
285	2890
286	2916
287	3016
288	3158
289	3294
290	3540
291	3922
292	4312
293	4625
294	4830
295	4871
296	4834
297	4789
298	4807
299	4986
300	5429
301	6183
302	7189
303	8565
304	10360
305	11832
306	12382
307	12164
308	11471
309	10502
310	9562
311	9006
312	9176
313	10285
314	12119
315	14208
316	16833
317	21290
318	26935
319	30861
320	31318
321	28413
322	23885
323	19353
324	15291
325	12352
326	10823
327	10389
328	11489
329	15280
330	20667
331	23833
332	25113
333	30464
334	43226
335	55008
336	50973
337	35220
338	20847
339	12183
340	7580
341	4894
342	3266
343	2297
344	1768
345	1407
346	1095
347	914
348	823
349	780
350	792
351	825
352	776
353	676
354	600
355	543
356	568
357	617
358	569
359	475
360	426
361	494
362	552
363	531
364	484
365	473
366	449
367	417
368	376
369	352
370	319
371	315
372	324
373	313
374	291
375	271
376	263
377	256
378	233
379	246
380	246
381	236
382	244
383	224
384	232
385	247
386	252
387	244
388	263
389	266
390	283
391	300
392	297
393	301
394	288
395	304
396	299
397	311
398	304
399	285
400	281
401	292
402	305
403	310
404	316
405	332
406	366
407	389
408	429
409	469
410	526
411	601
412	674
413	750
414	797
415	826
416	784
417	749
418	684
419	584
420	509
421	452
422	379
423	344
424	309
425	276
426	269
427	248
428	238
429	242
430	215
431	211
432	214
433	209
434	221
435	209
436	215
437	217
438	211
439	221
440	212
441	208
442	214
443	212
444	210
445	210
446	213
447	196
448	211
449	218
450	213
451	216
452	210
453	230
454	231
455	220
456	226
457	215
458	216
459	222
460	223
461	216
462	210
463	208
464	215
465	223
466	214
467	215
468	220
469	225
470	239
471	237
472	216
473	227
474	225
475	218
476	216
477	222
478	226
479	224
480	240
481	234
482	223
483	234
484	222
485	215
486	207
487	204
488	210
489	212
490	213
491	218
492	233
493	215
494	218
495	216
496	229
497	240
498	229
499	223
500	227
501	244
502	246
503	229
504	221
505	213
506	220
507	252
508	236
509	228
510	232
511	228
512	247
513	244
514	240
515	221
516	234
517	247
518	239
519	233
520	235
521	242
522	239
523	254
524	260
525	236
526	236
527	250
528	251
529	240
530	224
531	218
532	229
533	235
534	240
535	237
536	229
537	237
538	253
539	225
540	230
541	225
542	240
543	245
544	223
545	222
546	221
547	232
548	218
549	237
550	237
551	244
552	228
553	240
554	243
555	237
556	219
557	238
558	237
559	252
560	238
561	232
562	231
563	251
564	248
565	243
566	236
567	237
568	237
569	227
570	227
571	218
572	213
573	209
574	218
575	209
576	209
577	204
578	208
579	199
580	216
581	212
582	207
583	195
584	210
585	216
586	200
587	208
588	207
589	207
590	219
591	223
592	220
593	216
594	223
595	221
596	223
597	220
598	229
599	231
600	241
601	245
602	253
603	266
604	301
605	327
606	340
607	339
608	318
609	303
610	284
611	274
612	256
613	233
614	244
615	236
616	229
617	225
618	220
619	224
620	232
621	234
622	224
623	220
624	225
625	221
626	222
627	221
628	226
629	226
630	226
631	224
632	223
633	222
634	221
635	221
636	222
637	219
638	218
639	226
640	232
641	234
642	230
643	218
644	209
645	230
646	240
647	228
648	232
649	221
650	199
651	231
652	232
653	208
654	213
655	206
656	181
657	153
658	181
659	212
660	222
661	224
662	227
663	223
664	217
665	216
666	213
667	218
668	223
669	212
670	222
671	220
672	215
673	214
674	219
675	222
676	217
677	214
678	213
679	218
680	225
681	215
682	220
683	214
684	210
685	214
686	215
687	216
688	215
689	215
690	215
691	218
692	214
693	212
694	216
695	224
696	220
697	213
698	210
699	213
700	217
